treaty_code,hs_pattern,rule_type,shift_level,rvc_method,rvc_threshold,de_minimis,description,valid_from
TMEC,0101,CTC,CC,,,,[AUTO-GN11 cap.1] headings 0101 through 0106 from any other chapter.,2020-07-01
TMEC,0102,CTC,CC,,,,[AUTO-GN11 cap.1] headings 0101 through 0106 from any other chapter.,2020-07-01
TMEC,0103,CTC,CC,,,,[AUTO-GN11 cap.1] headings 0101 through 0106 from any other chapter.,2020-07-01
TMEC,0104,CTC,CC,,,,[AUTO-GN11 cap.1] headings 0101 through 0106 from any other chapter.,2020-07-01
TMEC,0105,CTC,CC,,,,[AUTO-GN11 cap.1] headings 0101 through 0106 from any other chapter.,2020-07-01
TMEC,0106,CTC,CC,,,,[AUTO-GN11 cap.1] headings 0101 through 0106 from any other chapter.,2020-07-01
TMEC,0201,CTC,CC,,,,[AUTO-GN11 cap.2] headings 0201 through 0210 from any other chapter. Harmonized Tariff Schedule of the United States Revision 9 (2026) Annotated for Statistical Reporting Purposes GN p.24 USMCA,2020-07-01
TMEC,0202,CTC,CC,,,,[AUTO-GN11 cap.2] headings 0201 through 0210 from any other chapter. Harmonized Tariff Schedule of the United States Revision 9 (2026) Annotated for Statistical Reporting Purposes GN p.24 USMCA,2020-07-01
TMEC,0203,CTC,CC,,,,[AUTO-GN11 cap.2] headings 0201 through 0210 from any other chapter. Harmonized Tariff Schedule of the United States Revision 9 (2026) Annotated for Statistical Reporting Purposes GN p.24 USMCA,2020-07-01
TMEC,0204,CTC,CC,,,,[AUTO-GN11 cap.2] headings 0201 through 0210 from any other chapter. Harmonized Tariff Schedule of the United States Revision 9 (2026) Annotated for Statistical Reporting Purposes GN p.24 USMCA,2020-07-01
TMEC,0205,CTC,CC,,,,[AUTO-GN11 cap.2] headings 0201 through 0210 from any other chapter. Harmonized Tariff Schedule of the United States Revision 9 (2026) Annotated for Statistical Reporting Purposes GN p.24 USMCA,2020-07-01
TMEC,0206,CTC,CC,,,,[AUTO-GN11 cap.2] headings 0201 through 0210 from any other chapter. Harmonized Tariff Schedule of the United States Revision 9 (2026) Annotated for Statistical Reporting Purposes GN p.24 USMCA,2020-07-01
TMEC,0207,CTC,CC,,,,[AUTO-GN11 cap.2] headings 0201 through 0210 from any other chapter. Harmonized Tariff Schedule of the United States Revision 9 (2026) Annotated for Statistical Reporting Purposes GN p.24 USMCA,2020-07-01
TMEC,0208,CTC,CC,,,,[AUTO-GN11 cap.2] headings 0201 through 0210 from any other chapter. Harmonized Tariff Schedule of the United States Revision 9 (2026) Annotated for Statistical Reporting Purposes GN p.24 USMCA,2020-07-01
TMEC,0209,CTC,CC,,,,[AUTO-GN11 cap.2] headings 0201 through 0210 from any other chapter. Harmonized Tariff Schedule of the United States Revision 9 (2026) Annotated for Statistical Reporting Purposes GN p.24 USMCA,2020-07-01
TMEC,0210,CTC,CC,,,,[AUTO-GN11 cap.2] headings 0201 through 0210 from any other chapter. Harmonized Tariff Schedule of the United States Revision 9 (2026) Annotated for Statistical Reporting Purposes GN p.24 USMCA,2020-07-01
TMEC,0301,CTC,CC,,,,[AUTO-GN11 cap.3] headings 0301 through 0305 from any other chapter. 2. (A),2020-07-01
